name,pos,ang,sca,hitCamera,coll
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-385.2/62.39/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-411.92/59.8/-84.13,0.000000/-0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-357.96/59.8/-71.1,0.000000/0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-357.96/59.8/-95.89999,0.000000/0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-357.96/59.8/-62.71,0.000000/0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-411.92/59.8/-80.02,0.000000/-0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-397.2/61.4/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-357.96/59.8/-83.45,0.000000/0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-357.96/59.8/-66.89999,0.000000/0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-358.053/59.57/-49.26,0.000000/0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-411.92/59.8/-71.54,0.000000/-0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-388.87/61.4/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-393.61/62.95/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-406.06/62.48/-47.73,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-411.92/59.8/-63.06,0.000000/-0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-411.92/59.8/-75.75,0.000000/-0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-411.92/59.8/-92.35999,0.000000/-0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-411.92/59.8/-96.49999,0.000000/-0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-401.36/61.4/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-393.04/61.4/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-357.96/59.8/-91.7,0.000000/0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-357.96/59.8/-75.21,0.000000/0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-357.96/59.8/-79.32,0.000000/0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-357.96/59.8/-87.56,0.000000/0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-363.88/59.8/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-360.28/59.65/-47.45,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-411.92/59.8/-67.29,0.000000/-0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-376.79/61.52/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-409.61/59.8/-98.34,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-364.39/59.65/-47.45,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-376.33/60.62/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-380.44/60.98/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-367.99/59.8/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-411.92/62.39/-50.07999,0.000000/-0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-359.72/59.8/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-372.19/60.27/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-384.68/61.4/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
1st_saku.X,-357.96/59.8/-58.53999,0.000000/0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-411.92/59.8/-88.24,0.000000/-0.707107/0.000000/0.707107,1.500001/1.5/1.500001,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.200004/4.2/0.9000009,1,1
1st_saku.X,-368.43/59.65/-47.45,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.2/4.2/0.9,1,1
Bridge.X,-417.9061/53.2/-138.1536,-0.699767/0.101620/0.101620/0.699767,5/5/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9/32.5/5,1,1
Bridge.X,-426.2798/53.2/-166.3769,-0.699767/0.101620/0.101620/0.699767,5/5/5,0,1
Bridge.X,-417.6357/53.2/-137.2421,-0.699767/0.101620/0.101620/0.699767,5/5/5,0,1
Bridge.X,-426.5503/53.2/-167.2883,-0.699767/0.101620/0.101620/0.699767,5/5/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9/32.5/5,1,1
Bridge.X,-435.1972/53.20004/-196.4319,-0.699767/0.101620/0.101620/0.699767,5/5/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9/32.5/5,1,1
Bridge.X,-434.9266/53.20004/-195.5204,-0.699767/0.101620/0.101620/0.699767,5/5/5,0,1
Bridge.X,-443.766/53.2/-225.2945,-0.699767/0.101620/0.101620/0.699767,5/5/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9/32.5/5,1,1
Bridge.X,-443.4955/53.2/-224.3831,-0.699767/0.101620/0.101620/0.699767,5/5/5,0,1
Bridge.X,-438.8498/54.49992/-59.95969,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9.000003/32.50001/5,1,1
Bridge.X,-437.9/54.49993/-60,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
Bridge.X,-469.2124/54.49997/-58.67223,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9.000003/32.50001/5,1,1
Bridge.X,-468.2627/54.49998/-58.71254,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
Bridge.X,-499.5846/54.5/-57.38438,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9.000003/32.50001/5,1,1
Bridge.X,-498.6346/54.50001/-57.42482,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
1st_ie_small.X,-391.7/58.84/-59.99,0.000000/0.000000/0.000000/1.000000,1/1/1,0,0
1st_ie_small.X,-406.38/60.05/-73.5,0.000000/-0.707107/0.000000/0.707107,1.000001/1/1.000001,0,0
1st_ie_small.X,-406.43/60.38/-80.69,0.000000/-0.707107/0.000000/0.707107,1.000001/1/1.000001,0,0
1st_ie_small.X,-405.1254/60.66/-88.17833,0.000000/-0.825134/0.000000/0.564937,1/1/1,0,0
1st_ie_small.X,-390.9086/60.69/-93.95599,0.000000/-0.999059/0.000000/-0.043377,1.000001/1/1.000001,0,0
1st_ie_small.X,-382.3041/59.92/-93.68109,0.000000/-0.994050/0.000000/-0.108927,0.9999998/1/0.9999998,0,0
1st_ie_small.X,-374.0292/59.29/-93.43555,0.000000/-0.997140/0.000000/0.075582,1.000001/1/1.000001,0,0
1st_ie_small.X,-364.6043/58.72/-93.10123,0.000000/-0.984022/0.000000/-0.178047,1.000001/1/1.000001,0,0
1st_ie_small.X,-361.68/58.72/-86.89,0.000000/-0.827507/0.000000/-0.561456,1.000001/1/1.000001,0,0
1st_ie_small.X,-360.83/58.72/-76.93,0.000000/-0.666016/0.000000/-0.745938,1.000001/1/1.000001,0,0
1st_ie_small.X,-361.85/58.72/-67.92,0.000000/-0.666016/0.000000/-0.745938,1.000001/1/1.000001,0,0
1st_ie_small.X,-362.64/58.72/-60.93,0.000000/-0.666016/0.000000/-0.745938,1.000001/1/1.000001,0,0
