name,pos,ang,sca,coll
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-411.92/59.8/-88.24,0.000000/-0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-397.2/61.4/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-384.68/61.4/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-376.33/60.62/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-357.96/59.8/-83.45,0.000000/0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-357.96/59.8/-66.89999,0.000000/0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-357.96/59.8/-58.53999,0.000000/0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-357.96/59.57/-50.00999,0.000000/0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-385.2/62.68/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-411.92/59.8/-71.54,0.000000/-0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-388.87/61.4/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-393.69/62.95/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-406.19/62.48/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-411.92/62.39/-50.07999,0.000000/-0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-411.92/59.8/-63.06,0.000000/-0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-411.92/59.8/-75.75,0.000000/-0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-411.92/59.8/-84.13,0.000000/-0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-411.92/59.8/-92.35999,0.000000/-0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-393.04/61.4/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-380.44/60.98/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-411.92/59.8/-96.49999,0.000000/-0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-401.36/61.4/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-367.99/59.8/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-357.96/59.8/-91.7,0.000000/0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-372.19/60.27/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-357.96/59.8/-95.89999,0.000000/0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-357.96/59.8/-75.21,0.000000/0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-357.96/59.8/-79.32,0.000000/0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-357.96/59.8/-71.1,0.000000/0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-359.72/59.8/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-357.96/59.8/-87.56,0.000000/0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-357.96/59.8/-62.71,0.000000/0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-368.43/59.65/-47.45,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-363.88/59.8/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-360.28/59.65/-47.45,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-411.92/59.8/-67.29,0.000000/-0.707107/0.000000/0.707107,1.500002/1.5/1.500002,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4.000006/4/1.000002,1,1
1st_saku.X,-376.79/62.03/-47.50999,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-409.37/59.8/-98.16999,0.000000/-1.000000/0.000000/0.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-364.39/59.65/-47.45,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
coll,-0.006673177/0.006668091/0.07333374,0.000000/0.000000/0.000000/1.000000,4/4/1,1,1
1st_saku.X,-484.89/66.68/277.64,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,1
1st_saku.X,-480.8/66.68/277.64,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
1st_saku.X,-476.65/66.68/277.64,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
1st_saku.X,-472.54/66.68/277.64,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
1st_saku.X,-468.45/66.68/277.64,0.000000/0.000000/0.000000/1.000000,1.5/1.5/1.5,0,0
Bridge.X,-414.9692/53.19997/-139.1387,-0.695886/0.125469/0.125469/0.695886,5.000001/5.000001/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9.000002/32.50001/5,1,1
Bridge.X,-414.6371/53.19997/-138.2478,-0.695886/0.125469/0.125469/0.695886,5.000001/5.000001/5,0,1
Bridge.X,-425.583/53.2/-167.615,-0.695886/0.125469/0.125469/0.695886,5.000001/5.000001/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9.000002/32.50001/5,1,1
Bridge.X,-425.2509/53.2/-166.7242,-0.695886/0.125469/0.125469/0.695886,5.000001/5.000001/5,0,1
Bridge.X,-436.2/53.20004/-196.1,-0.695886/0.125469/0.125469/0.695886,5.000001/5.000001/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9.000002/32.50001/5,1,1
Bridge.X,-435.8679/53.20004/-195.2092,-0.695886/0.125469/0.125469/0.695886,5.000001/5.000001/5,0,1
Bridge.X,-446.72/53.20004/-224.31,-0.695886/0.125469/0.125469/0.695886,5.000001/5.000001/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9.000002/32.50001/5,1,1
Bridge.X,-446.3878/53.20004/-223.4192,-0.695886/0.125469/0.125469/0.695886,5.000001/5.000001/5,0,1
Bridge.X,-418.3745/54.49992/-60.83068,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9.000003/32.50001/5,1,1
Bridge.X,-417.4247/54.49993/-60.87098,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
Bridge.X,-448.7372/54.49997/-59.54321,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9.000003/32.50001/5,1,1
Bridge.X,-447.7875/54.49998/-59.58353,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
Bridge.X,-479.1093/54.5/-58.25536,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9.000003/32.50001/5,1,1
Bridge.X,-478.1594/54.50001/-58.2958,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
Bridge.X,-509.1896/54.50002/-56.97472,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
coll,0/0/0,0.000000/0.000000/0.000000/1.000000,9.000003/32.50001/5,1,1
Bridge.X,-508.2399/54.50002/-57.01514,-0.489295/0.510481/0.510481/0.489295,5.000002/5.000002/5,0,1
