name,pos,ang,sca
1st_saku.X,-131.2/111.68/459.49,0/0/0/1,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/0/0/1,4/4/1,1
1st_saku.X,-157.92/108.8/435.46,0/-0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/-0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-134.87/110.4/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-139.69/111.95/459.49,0/0/0/1,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/0/0/1,4/4/1,1
1st_saku.X,-152.19/111.48/459.49,0/0/0/1,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/0/0/1,4/4/1,1
1st_saku.X,-157.92/111.39/456.92,0/-0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/-0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-157.92/108.8/443.94,0/-0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/-0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-157.92/108.8/431.25,0/-0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/-0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-157.92/108.8/422.87,0/-0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/-0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-157.92/108.8/414.64,0/-0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/-0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-139.04/110.4/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-126.44/109.98/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-157.92/108.8/410.5,0/-0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/-0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-147.36/110.4/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-113.99/108.8/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-103.96/108.8/415.3,0/0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-118.19/109.27/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-103.96/108.8/411.1,0/0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-103.96/108.8/431.79,0/0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-103.96/108.8/427.68,0/0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-103.96/108.8/435.9,0/0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-105.72/108.8/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-103.96/108.8/419.44,0/0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-103.96/108.8/444.29,0/0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-114.43/108.65/459.55,0/0/0/1,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/0/0/1,4/4/1,1
1st_saku.X,-109.88/108.8/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-106.28/108.65/459.55,0/0/0/1,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/0/0/1,4/4/1,1
1st_saku.X,-157.92/108.8/439.71,0/-0.7071068/0/0.7071068,1.500002/1.5/1.500002,0
coll,-0.006673177/0.006668091/0.07333374,0/-0.7071068/0/0.7071068,4.000006/4/1.000002,1
1st_saku.X,-122.79/111.03/459.49,0/0/0/1,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/0/0/1,4/4/1,1
1st_saku.X,-155.37/108.8/408.83,0/-1/0/0,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/-1/0/0,4/4/1,1
1st_saku.X,-110.39/108.65/459.55,0/0/0/1,1.5/1.5/1.5,0
coll,-0.006673177/0.006668091/0.07333374,0/0/0/1,4/4/1,1
1st_saku.X,-61.89001/109.7/502.98,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
coll,-2.92/5.92/0.1,0/0.214494/0/0.9767253,45/30/1,1
1st_saku.X,-58.14999/109.07/501.26,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,-54.39001/108.26/499.52,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,-50.78/108.06/497.85,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,-47.07999/108.06/496.14,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,-39.64999/108.06/492.71,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
coll,13.52/1.86/0.07,0/0.214494/0/0.9767253,45/45/1,1
Bridge.X,-175.1/102.45/348.74,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-175.1/102.45/336.33,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-175.1/102.45/323.86,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-175.1/102.45/311.3,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-175.1/102.45/298.97,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-175.1/102.45/286.53,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-175.1/102.45/274.05,-0.7071068/0/0/0.7071068,2/2/1,0
coll,0/0/0.435,-0.7071068/0/0/0.7071068,2.8/13/1,1
Bridge.X,-182.47/102.45/269.35,-0.5022194/0.4977708/0.4977707/0.5022194,2/2/1,0
coll,0/0/0.435,-0.5022194/0.4977708/0.4977707/0.5022194,2.8/13/1,1
Bridge.X,-188.7/99.93/452.7,-0.4864368/0.5132049/0.5132048/0.4864368,2/2/1,0
coll,0/0/0.435,-0.4864368/0.5132049/0.5132048/0.4864368,2.8/13/1,1
Bridge.X,-201.04/99.93/453.4,-0.4864368/0.5132049/0.5132048/0.4864368,2/2/1,0
coll,0/0/0.435,-0.4864368/0.5132049/0.5132048/0.4864368,2.8/13/1,1
Bridge.X,-213.44/99.93/454.06,-0.4864368/0.5132049/0.5132048/0.4864368,2/2/1,0
coll,0/0/0.435,-0.4864368/0.5132049/0.5132048/0.4864368,2.8/13/1,1
Bridge.X,-225.8/99.93/454.72,-0.4864368/0.5132049/0.5132048/0.4864368,2/2/1,0
coll,0/0/0.435,-0.4864368/0.5132049/0.5132048/0.4864368,2.8/13/1,1
Bridge.X,-238.11/99.93/455.38,-0.4864368/0.5132049/0.5132048/0.4864368,2/2/1,0
coll,0/0/0.435,-0.4864368/0.5132049/0.5132048/0.4864368,2.8/13/1,1
Bridge.X,-250.28/99.93/456.03,-0.4864368/0.5132049/0.5132048/0.4864368,2/2/1,0
coll,0/0/0.435,-0.4864368/0.5132049/0.5132048/0.4864368,2.8/13/1,1
1st_saku.X,-35.95001/108.06/491,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,-32.26001/108.06/489.3,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,-28.5/108.06/487.56,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,-24.70001/108.06/485.81,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,-20.94/108.06/484.07,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,-17.17001/108.43/482.33,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,-13.39999/109.38/480.59,0/0.214494/0/0.9767253,1.5/1.5/1.5,0
1st_saku.X,-239.07/115.68/784.64,0/0/0/1,1.5/1.5/1.5,0
coll,9.6/4.1/0.07333374,0/0/0/1,45/45/1,1
1st_saku.X,-235.05/115.68/784.64,0/0/0/1,1.5/1.5/1.5,0
1st_saku.X,-230.89/115.68/784.64,0/0/0/1,1.5/1.5/1.5,0
1st_saku.X,-226.8/115.68/784.64,0/0/0/1,1.5/1.5/1.5,0
1st_saku.X,-222.65/115.68/784.64,0/0/0/1,1.5/1.5/1.5,0
1st_saku.X,-218.54/115.68/784.64,0/0/0/1,1.5/1.5/1.5,0
1st_saku.X,-214.45/115.68/784.64,0/0/0/1,1.5/1.5/1.5,0
